location,Bogotá,Bogotá,Bogotá,Bogotá
lat,4.65067,4.65067,4.65067,4.65067
lon,-74.11948,-74.11948,-74.11948,-74.11948
asl,2485.715,2485.715,2485.715,2485.715
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bogotá Temperature [2 m elevation corrected],Bogotá Relative Humidity [2 m],Bogotá Wind Speed [10 m],Bogotá Wind Direction [10 m]
20201231T1700,14.134147,83.0,5.7599998,270.0
20201231T1800,13.414146,86.0,5.0528407,265.91437
20201231T1900,13.054147,89.0,2.5455842,261.8699
20201231T2000,12.954146,88.0,2.5455842,98.1301
20201231T2100,12.924147,87.0,5.04,89.99999
20201231T2200,12.224147,90.0,4.452954,104.03624
20201231T2300,11.564146,91.0,5.0142193,111.03751
20210101T0000,11.244146,91.0,6.12,118.07248
20210101T0100,10.904146,92.0,6.151683,110.556046
20210101T0200,10.424147,94.0,5.6920996,108.434944
20210101T0300,9.994146,96.0,6.28713,103.24051
20210101T0400,9.724147,96.0,7.072878,104.74355
20210101T0500,9.444146,96.0,7.342588,101.30993
20210101T0600,9.354146,94.0,7.342588,101.30993
20210101T0700,10.774146,89.0,6.9527545,111.2505
20210101T0800,13.274146,77.0,6.6185193,112.380135
20210101T0900,14.624146,70.0,7.7879906,123.69006
20210101T1000,15.474147,66.0,6.193674,144.46231
20210101T1100,15.984147,65.0,3.8773184,158.1986
20210101T1200,16.734146,61.0,5.1919937,123.69006
20210101T1300,18.154148,56.0,5.315336,118.30075
20210101T1400,18.634148,54.0,5.692099,124.69515
20210101T1500,18.744148,52.0,5.6002855,135.0
20210101T1600,18.474148,52.0,5.1919937,146.30994
20210101T1700,17.574146,56.0,5.3517847,160.34618
20210101T1800,15.934146,63.0,4.0249224,153.43495
20210101T1900,14.504147,69.0,6.489992,123.69006
20210101T2000,13.174147,73.0,7.289444,110.22486
20210101T2100,12.414146,81.0,9.339208,117.55281
20210101T2200,11.974147,85.0,10.144082,117.474434
20210101T2300,11.674147,84.0,9.83268,113.7495
20210102T0000,11.3341465,83.0,9.6932955,105.06849
20210102T0100,11.074146,84.0,8.557102,104.620865
20210102T0200,10.784146,87.0,8.350138,97.431404
20210102T0300,10.494146,90.0,8.4042845,99.86581
20210102T0400,10.214147,91.0,8.473393,102.26477
20210102T0500,10.144147,89.0,8.557102,104.620865
20210102T0600,10.204146,87.0,8.473393,102.26477
20210102T0700,10.944146,85.0,7.072878,104.74355
20210102T0800,13.064146,73.0,9.178235,115.55997
20210102T0900,15.164146,65.0,11.246759,129.80557
20210102T1000,16.604145,59.0,9.931042,136.4688
20210102T1100,17.494148,56.0,10.009036,127.69424
20210102T1200,17.914146,57.0,9.885262,123.11134
20210102T1300,17.564148,58.0,9.885262,123.11134
20210102T1400,18.464146,55.0,7.145796,130.91438
20210102T1500,18.694145,53.0,3.319036,130.60129
20210102T1600,18.184147,55.0,0.71999997,180.0
20210102T1700,17.544147,59.0,2.5455842,261.8699
20210102T1800,16.354145,68.0,3.96,270.0
20210102T1900,15.224147,77.0,4.0249224,280.30487
20210102T2000,14.234146,78.0,5.04,89.99999
20210102T2100,13.684147,79.0,5.3999996,89.99999
20210102T2200,13.004147,81.0,6.2145634,100.00798
20210102T2300,12.014147,86.0,6.5693827,99.46232
20210103T0000,11.544147,89.0,6.725354,105.5241
20210103T0100,11.374146,89.0,6.489992,109.44003
20210103T0200,11.204146,88.0,6.2145634,100.00798
20210103T0300,10.984146,87.0,5.0528407,94.08562
20210103T0400,10.744146,87.0,5.0528407,85.91438
20210103T0500,10.414146,87.0,5.0528407,85.91438
20210103T0600,10.074146,88.0,4.73506,81.25384
20210103T0700,11.034146,85.0,3.2599385,83.65981
20210103T0800,12.964147,75.0,3.396233,122.00538
20210103T0900,14.434147,69.0,1.4399999,180.0
20210103T1000,15.794147,64.0,3.2399998,270.0
20210103T1100,16.624146,64.0,6.638072,282.5288
20210103T1200,16.194145,67.0,10.661107,281.68936
20210103T1300,14.734146,78.0,14.471821,275.7106
20210103T1400,13.764147,83.0,14.05845,272.93567
20210103T1500,14.634147,74.0,11.879999,270.0
20210103T1600,14.644147,74.0,10.08,270.0
20210103T1700,14.354146,75.0,10.440001,270.0
20210103T1800,13.124146,82.0,7.92,270.0
20210103T1900,12.454146,86.0,5.771239,266.42368
20210103T2000,11.874146,89.0,2.2768397,251.56506
20210103T2100,11.564146,92.0,2.7416782,246.8014
20210103T2200,11.544147,94.0,2.1897945,260.5377
20210103T2300,11.674147,96.0,2.1897945,260.5377
20210104T0000,11.544147,96.0,1.835647,281.30994
20210104T0100,11.274146,95.0,1.2979984,326.30994
20210104T0200,11.214147,91.0,1.08,360.0
20210104T0300,11.304147,88.0,1.835647,11.309921
20210104T0400,11.274146,88.0,2.9024127,7.125
20210104T0500,11.094147,88.0,3.671294,11.309921
20210104T0600,10.814146,89.0,4.452954,14.03624
20210104T0700,10.924147,88.0,3.671294,11.309921
20210104T0800,11.624146,81.0,4.1046314,322.12503
20210104T0900,12.614146,76.0,7.5685663,295.3462
20210104T1000,13.674147,72.0,10.703569,289.6538
