Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C]
1/04/2020,17:15,2.33,40.91,17.77,16.88661136
1/04/2020,17:20,2.2,39.39,17.09,16.65161818
1/04/2020,17:25,1.96,36.05,16.65,16.39771364
1/04/2020,17:30,1.64,31.44,16.61,16.18289091
1/04/2020,17:35,1.21,25.31,16.55,15.98453182
1/04/2020,17:40,0.98,21.91,16.53,15.81441136
1/04/2020,17:45,0.8,18.28,16.31,15.7059
1/04/2020,17:50,0.56,14.39,15.98,15.62949091
1/04/2020,17:55,0.23,8.96,15.84,15.57979318
1/04/2020,18:00,0.07,6.04,15.74,15.534075
1/04/2020,18:05,0.04,5.01,15.7,15.49116364
1/04/2020,18:10,0,2.86,15.53,15.43247955
1/04/2020,18:15,0,1.59,15.21,15.37108409
1/04/2020,18:20,0,1.02,15.14,15.31814545
1/04/2020,18:25,0,1,15.27,15.22708636
1/04/2020,18:30,x,1.02,15.41,15.10420682
1/04/2020,18:35,x,1.02,15.31,14.95875227
1/04/2020,18:40,x,1.02,15.16,14.82065
1/04/2020,18:45,x,1.02,15.03,14.70664545
1/04/2020,18:50,x,1.02,14.62,14.59576136
1/04/2020,18:55,x,1.01,14.25,14.49300909
1/04/2020,19:00,x,1.01,13.99,14.372125
1/04/2020,19:05,x,1.01,13.96,14.25487727
1/04/2020,19:10,x,1.01,13.94,14.14308409
1/04/2020,19:15,x,1.01,13.92,14.0422
1/04/2020,19:20,x,1.01,14.14,13.95949773
1/04/2020,19:25,x,1.01,14.08,13.88406818
1/04/2020,19:30,x,1.01,14.02,13.80863864
1/04/2020,19:35,x,1.01,13.93,13.72048182
1/04/2020,19:40,x,1.01,13.92,13.62050682
1/04/2020,19:45,x,1.01,13.71,13.51689545
1/04/2020,19:50,x,1,13.42,13.3924
1/04/2020,19:55,x,1,13.16,13.272425
1/04/2020,20:00,x,1,12.99,13.14883864
1/04/2020,20:05,x,1,12.84,13.02888864
1/04/2020,20:10,x,1,12.78,12.91073182
1/04/2020,20:15,x,0.99,12.77,12.81712045
1/04/2020,20:20,x,1,12.76,12.752575
1/04/2020,20:25,x,0.99,12.66,12.72530227
1/04/2020,20:30,x,0.99,12.61,12.72530227
1/04/2020,20:35,x,1,12.62,12.73987273
1/04/2020,20:40,x,1,12.68,12.77444318
1/04/2020,20:45,x,1,12.71,12.83080682
1/04/2020,20:50,x,1,12.86,12.91717045
1/04/2020,20:55,x,1,12.99,13.03714545
1/04/2020,21:00,x,0.99,13,13.16893864
1/04/2020,21:05,x,0.99,13.16,13.302575
1/04/2020,21:10,x,0.99,13.39,13.432575
1/04/2020,21:15,x,1,13.71,13.56984773
1/04/2020,21:20,x,1,13.98,13.68712045
1/04/2020,21:25,x,1,14.06,13.78075682
1/04/2020,21:30,x,1,14.09,13.88982273
1/04/2020,21:35,x,1,14.11,14.012525
1/04/2020,21:40,x,1,14.22,14.13522727
1/04/2020,21:45,x,1,14.15,14.23522727
1/04/2020,21:50,x,1,14.02,14.30431818
1/04/2020,21:55,x,1,14.2,14.35616136
1/04/2020,22:00,x,1,14.51,14.40707045
1/04/2020,22:05,x,1,14.74,14.44161591
1/04/2020,22:10,x,1,14.81,14.47255
1/04/2020,22:15,x,1,14.74,14.51712045
1/04/2020,22:20,x,0.99,14.63,14.57984773
1/04/2020,22:25,x,1,14.65,14.58169091
1/04/2020,22:30,x,1,14.49,14.48626136
1/04/2020,22:35,x,0.99,14.56,14.32719545
1/04/2020,22:40,x,0.99,14.64,14.10997273
1/04/2020,22:45,x,1,14.71,13.89093182
1/04/2020,22:50,x,0.99,14.22,13.68189091
1/04/2020,22:55,x,0.99,13.46,13.47103182
1/04/2020,23:00,x,0.99,12.99,13.28653636
1/04/2020,23:05,x,0.98,12.42,13.11747045
1/04/2020,23:10,x,0.98,12.33,12.99295
1/04/2020,23:15,x,0.97,12.33,12.88572727
1/04/2020,23:20,x,0.98,12.33,12.83936364
1/04/2020,23:25,x,0.98,12.46,12.87211591
1/04/2020,23:30,x,0.98,12.7,12.923025
1/04/2020,23:35,x,0.98,13.27,13.01575227
1/04/2020,23:40,x,0.98,13.53,13.12209091
1/04/2020,23:45,x,0.99,13.71,13.23204091
1/04/2020,23:50,x,0.98,13.82,13.33837955
1/04/2020,23:55,x,0.99,13.55,13.42926364
2/04/2020,0:00,x,0.98,13.44,13.49742045
2/04/2020,0:05,x,0.99,13.5,13.51921364
2/04/2020,0:10,x,0.99,13.54,13.52464318
2/04/2020,0:15,x,0.99,13.5,13.53100682
2/04/2020,0:20,x,0.99,13.46,13.54641136
2/04/2020,0:25,x,0.99,13.45,13.59820455
2/04/2020,0:30,x,0.99,13.51,13.67088182
2/04/2020,0:35,x,0.99,13.59,13.74540227
2/04/2020,0:40,x,0.99,13.78,13.82083182
2/04/2020,0:45,x,1,13.99,13.892625
2/04/2020,0:50,x,1,14.12,13.96807955
2/04/2020,0:55,x,1,14.24,14.05169091
2/04/2020,1:00,x,1,14.32,14.13166591
2/04/2020,1:05,x,1,14.37,14.20709545
2/04/2020,1:10,x,1,14.29,14.26979773
2/04/2020,1:15,x,0.99,14.29,14.30982273
2/04/2020,1:20,x,1,14.37,14.32712045
2/04/2020,1:25,x,1,14.39,14.32078182
2/04/2020,1:30,x,1,14.42,14.29989773
2/04/2020,1:35,x,1,14.47,14.27810455
2/04/2020,1:40,x,0.99,14.43,14.24812955
2/04/2020,1:45,x,0.99,14.31,14.20176591
2/04/2020,1:50,x,0.99,14.17,14.11088182
2/04/2020,1:55,x,0.99,14.09,13.95184091
2/04/2020,2:00,x,0.99,14.13,13.74737045
2/04/2020,2:05,x,0.99,13.96,13.52744545
2/04/2020,2:10,x,0.99,13.78,13.31022273
2/04/2020,2:15,x,0.99,13.37,13.10845455
2/04/2020,2:20,x,0.98,12.64,12.92938864
2/04/2020,2:25,x,0.97,12.17,12.76032273
2/04/2020,2:30,x,0.97,12.05,12.58580227
2/04/2020,2:35,x,0.97,12.04,12.41764545
2/04/2020,2:40,x,0.97,12.09,12.27039773
2/04/2020,2:45,x,0.98,12.2,12.16587727
2/04/2020,2:50,x,0.98,12.23,12.143125
2/04/2020,2:55,x,0.98,12.21,12.17671136
2/04/2020,3:00,x,0.98,12.11,12.20575227
2/04/2020,3:05,x,0.98,12.16,12.22752045
2/04/2020,3:10,x,0.98,12.22,12.23747045
2/04/2020,3:15,x,0.99,12.39,12.23653636
2/04/2020,3:20,x,0.99,12.54,12.22923864
2/04/2020,3:25,x,0.99,12.37,12.23648636
2/04/2020,3:30,x,0.99,12.28,12.25646136
2/04/2020,3:35,x,0.99,12.2,12.2628
2/04/2020,3:40,x,0.99,12.19,12.26641136
2/04/2020,3:45,x,0.99,12.15,12.23370909
2/04/2020,3:50,x,0.99,12.29,12.16370909
2/04/2020,3:55,x,0.99,12.33,12.10916364
2/04/2020,4:00,x,0.99,12.23,12.062825
2/04/2020,4:05,x,0.99,12.26,12.02375909
2/04/2020,4:10,x,0.98,12.03,11.97285
2/04/2020,4:15,x,0.99,11.77,11.93194091
2/04/2020,4:20,x,0.99,11.77,11.88557727
2/04/2020,4:25,x,0.98,11.77,11.84378409
2/04/2020,4:30,x,0.98,11.77,11.82651136
2/04/2020,4:35,x,0.99,11.63,11.80742045
2/04/2020,4:40,x,0.99,11.7,11.82012273
2/04/2020,4:45,x,0.99,11.78,11.86375909
2/04/2020,4:50,x,0.98,11.87,11.91285
2/04/2020,4:55,x,0.99,12.04,11.96464318
2/04/2020,5:00,x,0.99,12.05,12.01916364
2/04/2020,5:05,x,0.99,12.17,12.08643636
2/04/2020,5:10,x,0.99,12.25,12.15098182
2/04/2020,5:15,x,0.99,12.31,12.18734545
2/04/2020,5:20,x,0.99,12.34,12.21547727
2/04/2020,5:25,x,0.99,12.37,12.23684545
2/04/2020,5:30,x,0.99,12.37,12.25330227
2/04/2020,5:35,x,0.99,12.41,12.25330682
2/04/2020,5:40,x,0.99,12.18,12.24873864
2/04/2020,5:45,x,1,12.18,12.25711818
2/04/2020,5:50,0,1.17,12.28,12.27675227
2/04/2020,5:55,0,1.68,12.25,12.29613409
2/04/2020,6:00,0,3.17,12.23,12.28397955
2/04/2020,6:05,0.07,6.09,12.34,12.25265909
2/04/2020,6:10,0.13,7.82,12.59,12.23721364
2/04/2020,6:15,0.22,9.5,12.79,12.21669091
2/04/2020,6:20,0.4,12.51,12.9,12.18363864
2/04/2020,6:25,0.8,19.67,12.75,12.14868636
2/04/2020,6:30,1.27,27.7,12.8,12.14076818
2/04/2020,6:35,1.68,33.35,12.9,12.158925
2/04/2020,6:40,2.04,38.3,12.98,12.17834091
2/04/2020,6:45,2.7,49.3,13.24,12.188775
2/04/2020,6:50,3.5,62.57,13.54,12.20679318
2/04/2020,6:55,3.92,69.61,13.97,12.25502955
2/04/2020,7:00,4.48,78.1,14.52,12.32130682
2/04/2020,7:05,5.39,91.69,15.11,12.38757955
2/04/2020,7:10,6.28,105.69,15.55,12.42556591
2/04/2020,7:15,7.03,118.03,16,12.45324545
2/04/2020,7:20,8.02,133.83,16.42,12.49501364
2/04/2020,7:25,9.02,150.28,16.9,12.50329318
2/04/2020,7:30,9.86,165.75,17.27,12.51288864
2/04/2020,7:35,9.89,164.56,16.87,12.51810682
2/04/2020,7:40,9.64,160.41,16.6,12.53563409
2/04/2020,7:45,9.46,158.59,16.64,12.59937273
2/04/2020,7:50,10.24,172.48,16.89,12.73178636
2/04/2020,7:55,10.68,180.08,17.43,12.87272727
2/04/2020,8:00,10.99,186.33,17.77,13.00955
2/04/2020,8:05,11.42,191.77,18.11,13.15853864
2/04/2020,8:10,11.52,195.08,18.82,13.30980909
2/04/2020,8:15,10.01,167.41,18.8,13.51038864
2/04/2020,8:20,9.84,161.54,18.76,13.61983864
2/04/2020,8:25,10.19,165.93,18.78,13.77410227
2/04/2020,8:30,11.63,191.51,19.25,13.97066591
2/04/2020,8:35,13.01,217.72,19.84,14.13662273
2/04/2020,8:40,13.66,228.54,20.77,14.09021136
2/04/2020,8:45,17.9,308.7,21.84,14.013125
2/04/2020,8:50,17.88,304.92,22.56,14.03900682
2/04/2020,8:55,16.97,286.25,22.68,14.32003864
2/04/2020,9:00,14.96,252.66,21.61,14.41379091
2/04/2020,9:05,18.29,316.19,21.64,14.55067273
2/04/2020,9:10,18.25,312.79,21.95,14.27929773
2/04/2020,9:15,17.54,294.46,22.7,14.64069545
2/04/2020,9:20,16.27,272.79,24.81,15.18458409
2/04/2020,9:25,23.29,403.1,26.1,16.04286136
2/04/2020,9:30,30.53,534.24,30.05,17.39073636
2/04/2020,9:35,48.95,881.09,35.73,18.71574091
2/04/2020,9:40,47.98,871.05,41.28,20.19738409
2/04/2020,9:45,49.93,945.91,46.17,21.597275
2/04/2020,9:50,47.39,900.03,49,22.10393182
2/04/2020,9:55,35.23,657.51,47.57,22.70125
2/04/2020,10:00,43.2,808.37,49.75,23.99205
2/04/2020,10:05,38.81,728.86,49.69,25.08026136
2/04/2020,10:10,30.95,558.14,45.35,25.6875
2/04/2020,10:15,42.06,789.4,44.59,26.06599773
2/04/2020,10:20,54.78,1016.9,49.55,26.51595909
2/04/2020,10:25,39.42,721.92,49.41,26.61920227
2/04/2020,10:30,54.12,1007.26,51.17,26.24423636
2/04/2020,10:35,60.82,1146.7,55.54,25.73085455
2/04/2020,10:40,63.2,1217.42,57.8,25.34809091
2/04/2020,10:45,58.56,1141.5,60.59,25.23659318
2/04/2020,10:50,57.11,1108.94,61.12,25.69158409
2/04/2020,10:55,54.43,1022.72,51.52,25.48083409
2/04/2020,11:00,59.69,1130.94,55.1,26.03929318
2/04/2020,11:05,63.01,1212.7,59.14,25.78414773
2/04/2020,11:10,67.13,1291.09,57.16,24.80864091
2/04/2020,11:15,50.5,946.54,52.62,23.99427273
2/04/2020,11:20,44.86,810.22,49.52,23.35590455
2/04/2020,11:25,27.44,472.24,42.6,23.78787955
2/04/2020,11:30,34.72,614.94,38.11,23.46092045
2/04/2020,11:35,61.28,1076.35,43.19,23.36561591
2/04/2020,11:40,62.04,1122.52,51.11,23.39903409
2/04/2020,11:45,55.12,1007.56,51.31,23.87014773
2/04/2020,11:50,37.52,657.93,46.24,23.52518864
2/04/2020,11:55,41.21,729.36,40.46,23.33236364
2/04/2020,12:00,39,696.64,43.9,23.68594091
2/04/2020,12:05,51.6,974.45,48.82,24.43086818
2/04/2020,12:10,28.93,476.64,44.88,24.30046818
2/04/2020,12:15,41.66,719.84,43.24,23.56695909
2/04/2020,12:20,29.53,489.37,40.95,22.99644091
2/04/2020,12:25,28.96,470.6,38.03,23.52857273
2/04/2020,12:30,32.59,539.47,36.62,23.21355
2/04/2020,12:35,39.35,638.68,36.37,23.20049091
2/04/2020,12:40,49.44,820.6,38.1,22.65831591
2/04/2020,12:45,46.7,793.41,43.69,22.77219318
2/04/2020,12:50,39.65,663.78,44.51,22.63270455
2/04/2020,12:55,38.95,683.74,40.08,22.40874545
2/04/2020,13:00,46.49,787.31,43.53,22.11618409
2/04/2020,13:05,33.19,553.51,41.03,22.33964545
2/04/2020,13:10,35.2,587.38,40.85,23.13325909
2/04/2020,13:15,29.3,482.62,39.23,23.62451591
2/04/2020,13:20,36.7,607.82,39.34,23.76675
2/04/2020,13:25,49.73,839.04,41.64,24.79882955
2/04/2020,13:30,52.76,906.75,46.2,26.42698182
2/04/2020,13:35,55.85,993.7,51.59,27.04420455
2/04/2020,13:40,48.86,908.18,52.25,27.06981136
2/04/2020,13:45,50.42,999.25,55.3,26.62862955
2/04/2020,13:50,43.6,897.09,57.3,26.98526364
2/04/2020,13:55,17.66,293.14,47.85,28.78481364
2/04/2020,14:00,17.66,277.53,40.23,29.49147727
2/04/2020,14:05,26.33,472.41,37.97,29.52437045
2/04/2020,14:10,42.2,875.82,45.19,29.05356364
2/04/2020,14:15,42.55,937.53,52.33,28.58494318
2/04/2020,14:20,14.15,239.22,44.94,27.73667955
2/04/2020,14:25,11.62,186.63,34.17,26.20664773
2/04/2020,14:30,10.9,169.27,29.28,25.20936364
2/04/2020,14:35,11.62,177.23,26.97,24.75479091
2/04/2020,14:40,12.4,192.88,27.97,24.60548182
2/04/2020,14:45,10.21,165.85,27.86,23.90674318
2/04/2020,14:50,8.29,129.88,26.53,22.13535455
2/04/2020,14:55,9.98,136.08,25.37,21.17515682
2/04/2020,15:00,11.88,167.33,24.58,20.55949545
2/04/2020,15:05,11.53,163.18,23.95,20.1767
2/04/2020,15:10,11.99,166.48,23.44,19.66513636
2/04/2020,15:15,12.61,185.23,23.97,19.03775227
2/04/2020,15:20,12.78,187.8,23.64,18.43805
2/04/2020,15:25,13.62,202.08,23.41,17.94652727
2/04/2020,15:30,11.64,164.53,22.41,17.70182727
2/04/2020,15:35,11.29,166.96,21.63,17.54521136
2/04/2020,15:40,15.72,196.44,21.8,17.51693636
2/04/2020,15:45,21.84,232.67,22.76,17.57210682
2/04/2020,15:50,24.84,265.78,23.53,17.70792273
2/04/2020,15:55,24.55,269.21,24.69,17.89860682
2/04/2020,16:00,21.24,258.19,24.84,18.15867727
2/04/2020,16:05,19.44,249.79,25.42,18.50415227
2/04/2020,16:10,18.46,244.98,26.22,18.84157955
2/04/2020,16:15,13.14,209.11,25.72,19.07636136
2/04/2020,16:20,10.76,174.17,24.74,19.29660227
2/04/2020,16:25,7.73,134.32,24.44,19.42581818
2/04/2020,16:30,6.05,108.77,23.83,19.46689091
2/04/2020,16:35,4.66,86.56,22.49,19.40913409
2/04/2020,16:40,3.52,66.03,20.76,19.27070909
2/04/2020,16:45,3.5,65.32,20.44,19.10110909
2/04/2020,16:50,3.37,65.16,20.5,18.97250682
2/04/2020,16:55,3.36,64.67,19.97,18.78371818
2/04/2020,17:00,3.29,61.62,19.61,18.57300909
2/04/2020,17:05,3.04,56.35,19.51,18.34644091
2/04/2020,17:10,2.52,48.95,19.45,18.18364545
