Fecha,ora,Potencia [kW],Insolación [W/m²],Temperatura de modulos [°C],Temperatura ambiente [°C]
03/05/2020,12:45:00 AM,x,0.99,8.97,8.936006818
03/05/2020,12:50:00 AM,x,0.99,8.94,8.864188636
03/05/2020,12:55:00 AM,x,0.99,8.84,8.799643182
03/05/2020,01:00:00 AM,x,0.99,8.84,8.752370455
03/05/2020,01:05:00 AM,x,0.99,8.76,8.718734091
03/05/2020,01:10:00 AM,x,0.99,8.52,8.688734091
03/05/2020,01:15:00 AM,x,0.99,8.5,8.653279545
03/05/2020,01:20:00 AM,x,0.99,8.58,8.615097727
03/05/2020,01:25:00 AM,x,0.99,8.68,8.577825
03/05/2020,01:30:00 AM,x,0.99,8.7,8.535097727
03/05/2020,01:35:00 AM,x,0.99,8.6,8.490552273
03/05/2020,01:40:00 AM,x,0.99,8.58,8.456915909
03/05/2020,01:45:00 AM,x,0.99,8.52,8.422370455
03/05/2020,01:50:00 AM,x,0.99,8.43,8.373309091
03/05/2020,01:55:00 AM,x,0.99,8.37,8.318763636
03/05/2020,02:00:00 AM,x,0.99,8.27,8.256945455
03/05/2020,02:05:00 AM,x,0.99,8.15,8.195127273
03/05/2020,02:10:00 AM,x,0.99,8.12,8.133309091
03/05/2020,02:15:00 AM,x,0.98,8.04,8.080581818
03/05/2020,02:20:00 AM,x,0.99,8.08,8.033309091
03/05/2020,02:25:00 AM,x,0.99,8.02,7.986036364
03/05/2020,02:30:00 AM,x,0.99,7.92,7.939702273
03/05/2020,02:35:00 AM,x,0.99,7.9,7.891520455
03/05/2020,02:40:00 AM,x,0.99,7.94,7.825186364
03/05/2020,02:45:00 AM,x,0.99,7.91,7.76155
03/05/2020,02:50:00 AM,x,0.99,7.85,7.692488636
03/05/2020,02:55:00 AM,x,0.98,7.76,7.624336364
03/05/2020,03:00:00 AM,x,0.99,7.62,7.565275
03/05/2020,03:05:00 AM,x,0.98,7.39,7.517122727
03/05/2020,03:10:00 AM,x,0.98,7.34,7.464425
03/05/2020,03:15:00 AM,x,0.98,7.32,7.402636364
03/05/2020,03:20:00 AM,x,0.98,7.27,7.346302273
03/05/2020,03:25:00 AM,x,0.98,7.27,7.289029545
03/05/2020,03:30:00 AM,x,0.98,7.37,7.244513636
03/05/2020,03:35:00 AM,x,0.98,7.36,7.22815
03/05/2020,03:40:00 AM,x,0.98,7.23,7.229968182
03/05/2020,03:45:00 AM,x,0.98,7.23,7.239968182
03/05/2020,03:50:00 AM,x,0.98,7.13,7.243604545
03/05/2020,03:55:00 AM,x,0.98,7.13,7.263604545
03/05/2020,04:00:00 AM,x,0.98,7.21,7.270877273
03/05/2020,04:05:00 AM,x,0.98,7.36,7.279059091
03/05/2020,04:10:00 AM,x,0.98,7.43,7.283604545
03/05/2020,04:15:00 AM,x,0.98,7.31,7.259059091
03/05/2020,04:20:00 AM,x,0.98,7.49,7.240906818
03/05/2020,04:25:00 AM,x,0.98,7.45,7.231845455
03/05/2020,04:30:00 AM,x,0.98,7.45,7.226390909
03/05/2020,04:35:00 AM,x,0.98,7.28,7.233663636
03/05/2020,04:40:00 AM,x,0.98,6.96,7.217329545
03/05/2020,04:45:00 AM,x,0.97,6.93,7.215540909
03/05/2020,04:50:00 AM,x,0.97,7.03,7.194661364
03/05/2020,04:55:00 AM,x,0.98,7.15,7.187418182
03/05/2020,05:00:00 AM,x,0.98,7.44,7.207447727
03/05/2020,05:05:00 AM,x,0.97,7.25,7.242022727
03/05/2020,05:10:00 AM,x,0.97,7.29,7.293870455
03/05/2020,05:15:00 AM,x,0.97,7.26,7.348415909
03/05/2020,05:20:00 AM,x,0.97,7.37,7.411143182
03/05/2020,05:25:00 AM,x,0.97,7.67,7.407536364
03/05/2020,05:30:00 AM,x,0.97,7.66,7.320145455
03/05/2020,05:35:00 AM,x,0.97,7.53,7.233331818
03/05/2020,05:40:00 AM,x,0.97,7.53,7.137836364
03/05/2020,05:45:00 AM,x,0.97,7.72,7.0568
03/05/2020,05:50:00 AM,x,0.97,7.11,6.962440909
03/05/2020,05:55:00 AM,x,1.02,6.48,6.857509091
03/05/2020,06:00:00 AM,0,1.43,6.31,6.757015909
03/05/2020,06:05:00 AM,0,2.83,6.3,6.682388636
03/05/2020,06:10:00 AM,0,4.09,6.47,6.600704545
03/05/2020,06:15:00 AM,0.05,5.83,6.49,6.474236364
03/05/2020,06:20:00 AM,0.1,7.87,6.74,6.383943182
03/05/2020,06:25:00 AM,0.22,10.06,6.85,6.343531818
03/05/2020,06:30:00 AM,0.37,12.69,7.09,6.315865909
03/05/2020,06:35:00 AM,0.41,13.54,7.04,6.288534091
03/05/2020,06:40:00 AM,0.58,16.39,6.83,6.245095455
03/05/2020,06:45:00 AM,0.67,18.3,6.68,6.222772727
03/05/2020,06:50:00 AM,0.89,22.39,6.73,6.241743182
03/05/2020,06:55:00 AM,1.02,24.64,6.76,6.303186364
03/05/2020,07:00:00 AM,1.15,26.85,6.78,6.374281818
03/05/2020,07:05:00 AM,1.39,31.1,6.87,6.483663636
