,Fecha,Potencia [kW],Irradiacion [W/m2],Temperatura de modulos[C]
443,15/10/2019,15.9625,187.9075,23.11
444,15/10/2019,8.432500000000001,90.1175,20.6775
445,15/10/2019,20.695,54.645,19.1325
446,15/10/2019,11.0425,42.25,18.8375
447,15/10/2019,15.7875,44.04000000000001,18.465
448,15/10/2019,4.072500000000001,36.4075,17.4525
449,15/10/2019,2.21,28.4925,17.4
450,16/10/2019,7.225,109.9275,14.1525
451,16/10/2019,16.3075,261.2225,19.355
452,16/10/2019,22.9525,359.1675,26.69
453,16/10/2019,28.035,443.4025,31.7025
454,16/10/2019,28.35,404.8375,27.3475
455,16/10/2019,53.5675,781.3725000000001,39.035
456,16/10/2019,53.3775,772.0775,44.7025
457,16/10/2019,65.1575,940.9975,43.315
458,16/10/2019,62.535,936.1424999999999,42.7425
459,16/10/2019,66.63499999999999,993.61,42.295
460,16/10/2019,64.4875,959.9175,44.9225
461,16/10/2019,76.53,1228.5475,51.12
462,16/10/2019,41.5725,574.6725,39.26000000000001
463,16/10/2019,64.9725,1020.07,51.0075
464,16/10/2019,76.2375,1212.9975,53.105
465,16/10/2019,35.505,493.315,37.1525
466,16/10/2019,66.6675,974.1975,42.21
467,16/10/2019,41.8725,537.8275,38.8325
468,16/10/2019,47.8875,608.0324999999999,34.7125
469,16/10/2019,67.37,895.3375,43.19
470,16/10/2019,33.7025,433.2075,42.325
471,16/10/2019,25.6325,163.4175,27.195
472,16/10/2019,9.915000000000001,113.3625,26.54
473,16/10/2019,5.529999999999999,70.6325,21.485
474,16/10/2019,14.645,103.1875,22.1225
475,16/10/2019,10.555,78.4675,20.1125
476,16/10/2019,9.26,97.55000000000001,21.18
477,16/10/2019,5.625,64.545,22.4125
478,16/10/2019,2.905,27.1125,20.6525
479,16/10/2019,1.325,16.7075,18.75
480,17/10/2019,18.65,370.7025,26.64
481,17/10/2019,24.985,456.59,32.33499999999999
482,17/10/2019,30.8775,511.6075,35.5575
483,17/10/2019,37.3075,588.365,39.63
484,17/10/2019,28.54,442.485,35.9475
485,17/10/2019,27.975,432.105,36.125
486,17/10/2019,23.65,310.4925,31.6575
487,17/10/2019,60.43000000000001,882.0625,45.26
488,17/10/2019,33.055,449.68,40.5025
489,17/10/2019,32.0725,403.455,34.4975
490,17/10/2019,53.7925,729.6625,39.82
491,17/10/2019,42.9525,572.665,43.015
492,17/10/2019,35.595,448.6725,38.245
493,17/10/2019,24.62,295.96,32.6175
494,17/10/2019,38.045,566.985,38.6475
495,17/10/2019,24.5525,289.8275,26.825
496,17/10/2019,43.2225,530.455,30.2125
497,17/10/2019,39.235,427.7424999999999,31.25
498,17/10/2019,66.6325,298.1375,26.9
499,17/10/2019,51.9625,219.4125,24.515
500,17/10/2019,30.5075,175.0275,22.1475
501,17/10/2019,40.3275,233.2675,23.64
502,17/10/2019,44.26000000000001,255.83,24.7775
503,17/10/2019,20.1275,221.0575,22.46
504,17/10/2019,27.73,215.5275,21.9925
505,17/10/2019,34.88,122.5225,19.5175
506,17/10/2019,20.485,103.825,19.57
507,17/10/2019,14.3975,152.81,21.5375
508,17/10/2019,8.005,94.77000000000001,19.02
509,17/10/2019,4.6775,59.7025,18.1075
510,18/10/2019,11.235,260.4275,18.1775
511,18/10/2019,18.82,378.8525,23.8975
512,18/10/2019,25.4275,465.02,29.99
513,18/10/2019,31.785,556.345,35.9175
514,18/10/2019,36.8075,626.2425000000001,39.965
515,18/10/2019,41.2075,684.1100000000001,41.7325
516,18/10/2019,43.84999999999999,712.48,42.755
517,18/10/2019,47.7325,766.0875,44.6275
518,18/10/2019,52.2125,827.3175,45.365
519,18/10/2019,57.0575,898.0925,47.2725
520,18/10/2019,56.0925,891.86,48.365
521,18/10/2019,54.4925,846.8950000000001,49.465
522,18/10/2019,59.5825,922.2025,51.925
523,18/10/2019,44.7225,671.6,47.89999999999999
524,18/10/2019,59.995,908.9025000000001,49.3225
525,18/10/2019,45.33749999999999,652.2775,41.38
526,18/10/2019,23.2325,296.855,33.90750000000001
527,18/10/2019,63.125,905.35,40.9575
528,18/10/2019,53.845,719.555,41.9875
529,18/10/2019,51.8275,298.34,31.4025
530,18/10/2019,26.44,173.9475,27.925
531,18/10/2019,5.907500000000001,78.4025,23.675
532,18/10/2019,10.8625,113.325,24.32
533,18/10/2019,21.86,131.115,24.6275
534,18/10/2019,14.26,96.99000000000001,22.995
535,18/10/2019,8.592500000000001,108.9925,22.8675
536,18/10/2019,2.88,34.525,21.1725
537,18/10/2019,0.7725000000000001,14.51,18.455
538,18/10/2019,0.5149999999999999,12.015,18.14
539,18/10/2019,0.1275,6.175000000000001,18.55
540,19/10/2019,7.32,90.92,16.27
541,19/10/2019,12.1875,158.4025,18.42
542,19/10/2019,21.765,297.4825,23.71
543,19/10/2019,20.6175,286.1125,25.75
544,19/10/2019,16.8175,225.195,24.8325
545,19/10/2019,33.95,461.395,30.9375
546,19/10/2019,52.41,737.435,41.8575
547,19/10/2019,43.48,598.17,40.2075
548,19/10/2019,36.67,461.2425,31.485
549,19/10/2019,34.685,457.1900000000001,29.98
550,19/10/2019,38.9625,528.1875,31.84
551,19/10/2019,37.6975,484.7275,32.125
552,19/10/2019,48.1875,657.845,37.6275
553,19/10/2019,31.4375,385.8625,32.67749999999999
554,19/10/2019,44.825,609.4725,36.7725
555,19/10/2019,65.88,999.405,46.98
556,19/10/2019,53.9525,764.1425,47.495
557,19/10/2019,46.87,608.0325,35.215
558,19/10/2019,38.0475,490.09,38.695
559,19/10/2019,36.7875,461.1075,32.41249999999999
560,19/10/2019,24.325,283.045,26.3575
561,19/10/2019,25.2475,272.525,26.3525
562,19/10/2019,23.03,234.1225,29.315
563,19/10/2019,7.07,90.63499999999999,21.565
564,19/10/2019,17.545,205.345,23.41
565,19/10/2019,11.635,128.175,22.8225
566,19/10/2019,12.835,88.7225,21.6425
567,19/10/2019,3.0125,41.2525,18.5875
568,19/10/2019,5.135,59.81,19.585
569,19/10/2019,7.7075,76.91749999999999,18.38
570,20/10/2019,20.745,366.85,28.7725
571,20/10/2019,12.405,201.0575,26.875
572,20/10/2019,13.155,206.5925,21.24
573,20/10/2019,31.4775,482.41,29.64
574,20/10/2019,47.2025,718.095,42.06
575,20/10/2019,34.0475,474.3525,39.5325
576,20/10/2019,54.7075,768.07,37.0775
577,20/10/2019,32.8925,418.655,30.3625
578,20/10/2019,41.5425,568.8575,31.795
579,20/10/2019,32.1925,414.355,30.6775
580,20/10/2019,26.02,322.21,31.715
581,20/10/2019,25.825,311.5275,31.67
582,20/10/2019,18.96,225.4675,28.92
583,20/10/2019,19.7225,223.5525,25.5425
584,20/10/2019,19.32,233.4,25.2775
