Time,Potencia [kW],Irradiacion [W/m2],Temperatura de modulos[C],
2019-04-10 14:00:00,36.01636364,292.18,17.15,
2019-04-10 14:20:00,31.51909091,209,17.505,
2019-04-10 14:40:00,26.79295455,143.83,19.7675,
2019-04-10 15:00:00,21.3375,139.5975,19.6575,
2019-04-10 15:20:00,17.21181818,189.645,22.68,
2019-04-10 15:40:00,14.6325,145.9725,22.485,
2019-04-10 16:00:00,15.44318182,57.4125,19.1875,
2019-04-10 16:20:00,17.73545455,39.675,17.755,
2019-04-10 16:40:00,21.66113636,50.2975,18.1825,
2019-04-11 07:00:00,23.86340909,113.38,17.3025,
2019-04-11 07:20:00,25.295,289.24,21.9725,
2019-04-11 07:40:00,27.82454545,551.635,32.56,
2019-04-11 08:00:00,33.26204545,682.6075,34.835,
2019-04-11 08:20:00,38.08113636,849.52,39.14,
2019-04-11 08:40:00,44.33431818,713.2925,44.9225,
2019-04-11 09:00:00,50.75522727,471.605,37.8525,
2019-04-11 09:20:00,56.38113636,595.1725,34.23,
2019-04-11 09:40:00,60.40159091,988.2375,41.72,
2019-04-11 10:00:00,63.21295455,891.0675,39.8325,
2019-04-11 10:20:00,64.79795455,1113.2375,46.4175,
2019-04-11 10:40:00,67.28454545,1142.2825,46.96,
2019-04-11 11:00:00,70.62090909,1128.3275,45.015,
2019-04-11 11:20:00,73.145,1096.2175,44.365,
2019-04-11 11:40:00,72.82659091,1062.6325,46.5175,
2019-04-11 12:00:00,73.27431818,1067.1025,50.715,
2019-04-11 12:20:00,71.72977273,1029.1325,45.9225,
2019-04-11 12:40:00,69.29363636,781.96,42.8675,
2019-04-11 13:00:00,64.69636364,138.245,26.2075,
2019-04-11 13:20:00,60.93340909,142.9075,26.375,
2019-04-11 13:40:00,55.89795455,120.715,23.705,
2019-04-11 14:00:00,50.89431818,84.5625,22.0025,
2019-04-11 14:20:00,44.47568182,54.79,22.14,
2019-04-11 14:40:00,38.20045455,79.165,21.595,
2019-04-11 15:00:00,31.91590909,60.5425,20.78,
2019-04-11 15:20:00,27.27068182,92.8325,21.13,
2019-04-11 15:40:00,23.33363636,83.0675,21.3975,
2019-04-11 16:00:00,20.53636364,27.1025,19.0125,
2019-04-11 16:20:00,18.98522727,20.02,18.3925,
2019-04-11 16:40:00,20.08545455,16.8075,17.9325,
2019-04-12 07:00:00,20.47659091,337.395,21.5075,
2019-04-12 07:20:00,22.92340909,429.55,26.9825,
2019-04-12 07:40:00,26.51159091,515.505,32.2375,
2019-04-12 08:00:00,30.72727273,601.5,37.9875,
2019-04-12 08:20:00,36.01681818,683.815,40.8175,
2019-04-12 08:40:00,38.25,689.8275,44.9175,
2019-04-12 09:00:00,40.89863636,740.5375,45.965,
2019-04-12 09:20:00,45.00613636,935.17,51.8475,
2019-04-12 09:40:00,48.34522727,801.9775,41.5325,
2019-04-12 10:00:00,50.34431818,955.2575,44.42,
2019-04-12 10:20:00,53.04431818,384.145,35.915,
2019-04-12 10:40:00,54.41477273,636.7975,35.955,
2019-04-12 11:00:00,56.49022727,1031.9225,42.58,
