,Fecha,Hora,Energia [kWh],Irradiacion [Wh/m2],Irradiacion extraterrestre [Wh/m2]
182,19/10/2019,9:00,28.38,368.77416669999997,933.8948370999999
183,19/10/2019,10:00,41.09666667,531.0591667,1148.5012789999998
184,19/10/2019,11:00,26.59416667,328.84,1283.408528
185,19/10/2019,12:00,25.74083333,317.40416669999996,1329.4228779999999
186,19/10/2019,13:00,31.91333333,375.595,1283.408528
187,19/10/2019,14:00,23.73416667,257.9583333,1148.5012789999998
188,19/10/2019,15:00,24.345,181.685,933.8948370999999
189,19/10/2019,16:00,12.945,69.91,654.2142772999999
190,20/10/2019,7:00,24.38083333,400.0275,327.5958691
191,20/10/2019,8:00,29.64583333,419.44,653.0669654
192,20/10/2019,9:00,46.195,636.9441667,932.5553319
193,20/10/2019,10:00,63.59333333,860.2541667000002,1147.014298
194,20/10/2019,11:00,34.5125,434.805,1281.828841
195,20/10/2019,12:00,44.71166667,570.7383332999999,1327.8115699999998
196,20/10/2019,13:00,28.42583333,314.6125,1281.828841
197,20/10/2019,14:00,15.12416667,178.555,1147.014298
198,20/10/2019,15:00,6.2725,76.1975,932.5553319
199,20/10/2019,16:00,0.975833333,17.02583333,653.0669654
200,21/10/2019,7:00,11.99416667,188.605,326.6681258
201,21/10/2019,8:00,24.23083333,343.8066667,651.9053741
202,21/10/2019,9:00,45.77833333,637.2458333,931.1929308
203,21/10/2019,10:00,42.78083333,598.4308333,1145.497811
204,21/10/2019,11:00,28.80333333,391.4466667,1280.21549
205,21/10/2019,12:00,14.875,180.4533333,1326.165181
206,21/10/2019,13:00,19.73083333,205.2008333,1280.21549
207,21/10/2019,14:00,10.17166667,112.6516667,1145.497811
208,21/10/2019,15:00,9.246666667000001,113.85666670000002,931.1929308
209,21/10/2019,16:00,4.3383333330000005,54.6725,651.9053741
210,22/10/2019,7:00,21.97083333,378.7025,325.73681989999994
211,22/10/2019,8:00,32.82083333,491.465,650.7306175
212,22/10/2019,9:00,19.05833333,240.3525,929.8091184
213,22/10/2019,10:00,31.95833333,405.9575,1143.953584
214,22/10/2019,11:00,24.75833333,307.235,1278.5704230000001
215,22/10/2019,12:00,7.114166667,88.01666667,1324.485719
216,22/10/2019,13:00,8.799166667,99.39833333,1278.5704230000001
217,22/10/2019,14:00,0.5708333329999999,11.20083333,1143.953584
218,22/10/2019,15:00,0.36416666700000005,9.63,929.8091184
219,22/10/2019,16:00,0.1175,5.720833333,650.7306175
220,23/10/2019,7:00,24.6825,428.6925,324.8026421
221,23/10/2019,8:00,29.51833333,440.0041666999999,649.5438287999999
222,23/10/2019,9:00,13.23833333,165.4683333,928.4054077999999
223,23/10/2019,10:00,19.88833333,239.0241667,1142.383423
224,23/10/2019,11:00,44.3075,587.7033332999999,1276.8956269999999
225,23/10/2019,12:00,18.1025,207.14583330000002,1322.775235
226,23/10/2019,13:00,6.1275,82.755,1276.8956269999999
227,23/10/2019,14:00,1.5275,25.6875,1142.383423
228,23/10/2019,15:00,1.5933333330000001,25.875,928.4054077999999
229,23/10/2019,16:00,3.880833333,52.63416667,649.5438287999999
230,24/10/2019,7:00,17.30416667,228.32416669999998,323.8662909
231,24/10/2019,8:00,28.71416667,382.70916669999997,648.3461593
232,24/10/2019,9:00,41.07666667,528.4116667,926.9833391000001
233,24/10/2019,10:00,30.0225,361.0941667,1140.789167
234,24/10/2019,11:00,24.35166667,291.4125,1275.193129
235,24/10/2019,12:00,30.98833333,373.6241667,1321.035818
236,24/10/2019,13:00,42.56166667,369.2441667,1275.193129
237,24/10/2019,14:00,36.55916667,183.05333330000002,1140.789167
238,24/10/2019,15:00,5.39,72.45916667,926.9833391000001
239,24/10/2019,16:00,3.4875,41.82916667,648.3461593
240,25/10/2019,7:00,13.69,182.2183333,322.9284713
241,25/10/2019,8:00,24.6125,350.9,647.1387765
242,25/10/2019,9:00,49.80833333,724.3975,925.5444771
243,25/10/2019,10:00,52.58083333,740.7725,1139.172685
244,25/10/2019,11:00,53.77833333,779.4375,1273.46499
245,25/10/2019,12:00,69.805,979.9166667000002,1319.269595
246,25/10/2019,13:00,61.11166667,280.3791667,1273.46499
247,25/10/2019,14:00,39.17083333,277.4958333,1139.172685
248,25/10/2019,15:00,26.01166667,158.71083330000002,925.5444771
249,25/10/2019,16:00,12.425,84.96333333,647.1387765
250,26/10/2019,7:00,13.57666667,192.8891667,321.98989439999997
251,26/10/2019,8:00,17.26,217.14,645.9228632
252,26/10/2019,9:00,22.2875,271.525,924.0904098
253,26/10/2019,10:00,27.275,327.9608333,1137.535875
254,26/10/2019,11:00,34.73583333,421.34583330000004,1271.7133039999999
255,26/10/2019,12:00,48.28083333,604.9083333,1317.478727
256,26/10/2019,13:00,43.13333333,329.1258333,1271.7133039999999
257,26/10/2019,14:00,30.59083333,247.48,1137.535875
258,26/10/2019,15:00,22.09583333,193.6033333,924.0904098
259,26/10/2019,16:00,8.369166667,85.71416667,645.9228632
260,27/10/2019,7:00,26.17666667,451.3875,321.05127660000005
261,27/10/2019,8:00,48.77916667,745.81,644.6996161000001
262,27/10/2019,9:00,32.71083333,440.02166669999997,922.6227457999998
263,27/10/2019,10:00,45.74416667,649.625,1135.880664
264,27/10/2019,11:00,31.19833333,410.895,1269.940196
265,27/10/2019,12:00,28.52666667,341.8908333,1315.665405
266,27/10/2019,13:00,23.13416667,220.1841667,1269.940196
267,27/10/2019,14:00,13.785,163.2875,1135.880664
268,27/10/2019,15:00,15.55333333,126.05666670000001,922.6227457999998
269,27/10/2019,16:00,3.3775,48.46166667,644.6996161000001
270,28/10/2019,7:00,10.39833333,131.9975,320.1133388
271,28/10/2019,8:00,17.61333333,215.9841667,643.4702437999999
272,28/10/2019,9:00,31.63833333,417.405,921.1431132000001
273,28/10/2019,10:00,35.65416667,458.7983333000001,1134.2089999999998
274,28/10/2019,11:00,18.67083333,220.14,1268.147815
275,28/10/2019,12:00,37.64416667,433.16166669999996,1313.831851
276,28/10/2019,13:00,39.2325,357.4425,1268.147815
277,28/10/2019,14:00,16.99666667,175.41666669999998,1134.2089999999998
278,28/10/2019,15:00,15.04833333,91.815,921.1431132000001
279,28/10/2019,16:00,5.598333332999999,35.57416667,643.4702437999999
280,29/10/2019,7:00,22.825,388.6625,319.1768056
281,29/10/2019,8:00,36.9575,547.5241667,642.2359662
282,29/10/2019,9:00,49.36,718.1991667000001,919.6531566
283,29/10/2019,10:00,61.04,889.3091667000001,1132.5228539999998
284,29/10/2019,11:00,52.5525,740.1925,1266.3383390000001
285,29/10/2019,12:00,40.19166667,543.6775,1311.98031
286,29/10/2019,13:00,51.89416667,223.34,1266.3383390000001
287,29/10/2019,14:00,40.78916667,147.1958333,1132.5228539999998
288,29/10/2019,15:00,32.40583333,61.52583333,919.6531566
289,29/10/2019,16:00,3.896666667,25.30833333,642.2359662
290,30/10/2019,7:00,9.750833333,137.0725,318.2424046
291,30/10/2019,8:00,25.37583333,362.6991667,640.9980122999999
292,30/10/2019,9:00,32.225,433.9875,918.1545358999999
293,30/10/2019,10:00,49.85416667,663.5666667,1130.824216
294,30/10/2019,11:00,19.06166667,237.33583330000002,1264.513966
295,30/10/2019,12:00,31.03166667,372.27,1310.113051
296,30/10/2019,13:00,20.97333333,243.0483333,1264.513966
297,30/10/2019,14:00,20.24166667,206.0816667,1130.824216
298,30/10/2019,15:00,21.76916667,112.3725,918.1545358999999
299,30/10/2019,16:00,8.640833333,84.01166667,640.9980122999999
300,31/10/2019,7:00,12.26083333,155.1475,317.31086539999995
301,31/10/2019,8:00,24.81833333,330.8383333,639.7576192
302,31/10/2019,9:00,22.2525,271.2641667,916.6489240000001
303,31/10/2019,10:00,36.23083333,454.405,1129.1150949999999
304,31/10/2019,11:00,29.79333333,356.7125,1262.676913
305,31/10/2019,12:00,33.71083333,404.2583333,1308.232363
306,31/10/2019,13:00,30.37333333,341.44,1262.676913
307,31/10/2019,14:00,29.56333333,310.3075,1129.1150949999999
308,31/10/2019,15:00,25.42916667,214.6108333,916.6489240000001
309,31/10/2019,16:00,10.39583333,95.33916667,639.7576192
310,1/11/2019,7:00,23.91166667,426.66,316.3829192
311,1/11/2019,8:00,34.79916667,541.0125,638.5160306
312,1/11/2019,9:00,28.15333333,383.275,915.1380046
313,1/11/2019,10:00,63.72416667,962.4025,1127.397511
314,1/11/2019,11:00,30.0375,390.2216667,1260.829414
315,1/11/2019,12:00,47.745,601.8325,1306.340552
316,1/11/2019,13:00,32.00666667,377.455,1260.829414
317,1/11/2019,14:00,41.4925,229.8558333,1127.397511
318,1/11/2019,15:00,9.119166667,94.7625,915.1380046
319,1/11/2019,16:00,2.699166667,33.4325,638.5160306
320,2/11/2019,7:00,18.46166667,289.47333330000004,315.45929789999997
321,2/11/2019,8:00,9.8125,136.1166667,637.2744953
322,2/11/2019,9:00,18.13583333,215.83,913.6234701999999
323,2/11/2019,10:00,26.1,308.2458333,1125.673497
324,2/11/2019,11:00,38.93833333,471.71,1258.973716
325,2/11/2019,12:00,25.52333333,335.1808333,1304.439939
326,2/11/2019,13:00,7.911666667,103.6691667,1258.973716
327,2/11/2019,14:00,2.564166667,36.84833333,1125.673497
328,2/11/2019,15:00,4.7875,64.67666667,913.6234701999999
329,2/11/2019,16:00,1.414166667,22.72833333,637.2744953
330,3/11/2019,7:00,22.6825,423.67416669999994,314.5407332
331,3/11/2019,8:00,35.9475,548.7141667000001,636.0342655000001
332,3/11/2019,9:00,39.43333333,550.3158333,912.1070205
333,3/11/2019,10:00,22.86,283.5175,1123.9450960000001
334,3/11/2019,11:00,21.9775,268.1,1257.112077
335,3/11/2019,12:00,21.44666667,253.3641667,1302.5328550000002
336,3/11/2019,13:00,30.98333333,302.8016667,1257.112077
337,3/11/2019,14:00,43.42166667,187.3391667,1123.9450960000001
338,3/11/2019,15:00,23.89583333,94.225,912.1070205
339,3/11/2019,16:00,2.4216666669999998,32.7875,636.0342655000001
340,4/11/2019,7:00,19.40916667,318.085,313.6279558
341,4/11/2019,8:00,49.2175,748.4733332999999,634.7965958999999
342,4/11/2019,9:00,48.65583333,685.005,910.5903596
343,4/11/2019,10:00,71.43583333,1048.8625,1122.214358
344,4/11/2019,11:00,77.0175,1095.725833,1255.246764
345,4/11/2019,12:00,73.20416667,959.3983332999999,1300.621641
346,4/11/2019,13:00,66.98666667,133.9558333,1255.246764
347,4/11/2019,14:00,46.31583333,72.83916667,1122.214358
348,4/11/2019,15:00,24.61083333,78.81416667,910.5903596
349,4/11/2019,16:00,2.6175,21.31,634.7965958999999
350,5/11/2019,7:00,14.90333333,208.3575,312.72169489999993
351,5/11/2019,8:00,52.08083333,780.8983333,633.5627417000001
352,5/11/2019,9:00,61.62666667,882.945,909.0751946
353,5/11/2019,10:00,54.61,763.7191667000001,1120.483335
354,5/11/2019,11:00,52.78916667,761.21,1253.380048
355,5/11/2019,12:00,53.92666667,747.5616667,1298.708642
356,5/11/2019,13:00,42.84833333,294.6508333,1253.380048
357,5/11/2019,14:00,29.47333333,138.37916669999998,1120.483335
358,5/11/2019,15:00,11.01083333,82.7725,909.0751946
359,5/11/2019,16:00,6.233333332999999,41.98666667,633.5627417000001
360,6/11/2019,7:00,24.8375,446.3,311.8226773
361,6/11/2019,8:00,31.27416667,487.65166669999996,632.3339574
362,6/11/2019,9:00,39.045,547.4116667000001,907.5632332
363,6/11/2019,10:00,42.93916667,568.5941667000001,1118.754084
364,6/11/2019,11:00,32.75333333,437.20583330000005,1251.5142039999998
365,6/11/2019,12:00,35.67,416.0083333,1296.796208
366,6/11/2019,13:00,49.70083333,230.8591667,1251.5142039999998
367,6/11/2019,14:00,34.905,236.7183333,1118.754084
368,6/11/2019,15:00,27.69833333,147.29166669999998,907.5632332
369,6/11/2019,16:00,9.026666667,102.4275,632.3339574
370,7/11/2019,7:00,15.435,258.1666667,310.9316266
371,7/11/2019,8:00,37.57583333,558.2858332999999,631.1114954
372,7/11/2019,9:00,43.0475,585.1941667,906.0561819000001
373,7/11/2019,10:00,28.0125,349.3641667,1117.02866
374,7/11/2019,11:00,19.33416667,227.4733333,1249.651504
375,7/11/2019,12:00,24.89083333,298.7158333,1294.8866859999998
376,7/11/2019,13:00,35.07333333,282.47583330000003,1249.651504
377,7/11/2019,14:00,27.06916667,199.8916667,1117.02866
378,7/11/2019,15:00,29.37333333,196.73166669999998,906.0561819000001
379,7/11/2019,16:00,11.23666667,84.02666667,631.1114954
380,8/11/2019,7:00,21.27916667,309.7425,310.0492626
381,8/11/2019,8:00,26.305,353.9541667,629.8966045
382,8/11/2019,9:00,25.84083333,324.8408333,904.5557435000001
383,8/11/2019,10:00,52.72416667,719.29,1115.309113
384,8/11/2019,11:00,72.75083333,1035.779167,1247.79422
385,8/11/2019,12:00,70.27666667,961.945,1292.9824230000002
386,8/11/2019,13:00,47.3425,259.45916669999997,1247.79422
387,8/11/2019,14:00,44.53666667,125.35,1115.309113
388,8/11/2019,15:00,32.17333333,39.6725,904.5557435000001
389,8/11/2019,16:00,12.58583333,52.97833333,629.8966045
390,9/11/2019,7:00,12.57833333,157.8533333,309.17630049999997
391,9/11/2019,8:00,18.85916667,235.1775,628.6905283
392,9/11/2019,9:00,27.79,342.10083330000003,903.0636159
393,9/11/2019,10:00,27.4725,331.96666669999996,1113.597491
