"Fecha","Hora","Potencia [kW]","Insolacion [W/m2]","Temperatura de modulos [C]","Temperatura Ambiente [C]"
"15/04/2020","17:50","1,45","27,74","18,47","17,30187045"
"15/04/2020","17:55","0,55","14,33","17,97","17,15159773"
"15/04/2020","18:00","0,19","8,29","17,78","16,95495682"
"15/04/2020","18:05","0","2,65","17,41","16,74171818"
"15/04/2020","18:10","0","1,47","16,91","16,53288182"
"15/04/2020","18:15","0","1,08","16,29","16,31068864"
"15/04/2020","18:20","0","1,01","15,83","16,02960455"
"15/04/2020","18:25","0","1,03","15,55","15,743475"
"15/04/2020","18:30","x","1,03","15,32","15,46677273"
"15/04/2020","18:35","x","1,03","15,07","15,21886136"
"15/04/2020","18:40","x","1,03","14,79","15,00200909"
"15/04/2020","18:45","x","1,03","14,51","14,85218636"
"15/04/2020","18:50","x","1,02","14,39","14,77852045"
"15/04/2020","18:55","x","1,02","14,5","14,74124773"
"15/04/2020","19:00","x","1,02","14,63","14,71033864"
"15/04/2020","19:05","x","1,02","14,51","14,68491364"
"15/04/2020","19:10","x","1,02","14,64","14,66857955"
"15/04/2020","19:15","x","1,02","15,02","14,68315455"
"15/04/2020","19:20","x","1,03","15,14","14,72679091"
"15/04/2020","19:25","x","1,03","14,98","14,78315455"
"15/04/2020","19:30","x","1,02","14,79","14,8277"
"15/04/2020","19:35","x","1,02","14,61","14,86406364"
"15/04/2020","19:40","x","1,02","14,67","14,87588182"
"15/04/2020","19:45","x","1,02","14,87","14,86679091"
"15/04/2020","19:50","x","1,02","15,12","14,87954773"
"15/04/2020","19:55","x","1,02","15,12","14,92321364"
"15/04/2020","20:00","x","1,02","14,91","14,96775909"
"15/04/2020","20:05","x","1,02","14,77","15,00321364"
"15/04/2020","20:10","x","1,02","14,92","15,01594091"
"15/04/2020","20:15","x","1,02","15,28","15,03775909"
"15/04/2020","20:20","x","1,02","15,46","15,06775909"
"15/04/2020","20:25","x","1,02","15,28","15,09503182"
"15/04/2020","20:30","x","1,02","15","15,12048636"
"15/04/2020","20:35","x","1,02","14,81","15,14957727"
"15/04/2020","20:40","x","1,02","15,11","15,15051591"
"15/04/2020","20:45","x","1,02","15,45","15,09963636"
"15/04/2020","20:50","x","1,02","15,42","15,02148409"
"15/04/2020","20:55","x","1,02","15,19","14,95151364"
"15/04/2020","21:00","x","1,02","15,09","14,89336136"
"15/04/2020","21:05","x","1,01","14,93","14,84157273"
"15/04/2020","21:10","x","1,01","14,72","14,75978409"
"15/04/2020","21:15","x","1,01","14,6","14,64799545"
"15/04/2020","21:20","x","1,01","14,51","14,53984318"
"15/04/2020","21:25","x","1,01","14,36","14,43350909"
"15/04/2020","21:30","x","1,01","14,24","14,33902273"
"15/04/2020","21:35","x","1,01","14,21","14,24359773"
