Fecha ,Hora,Potencia [kW],Insolaci½n [W/mì],Temperatura de modulos [›C],Temperatura ambiente [›C]
01/23/2020,01:50:00 AM,x,1,14.12,14.20562273
01/23/2020,01:55:00 AM,x,1,14.01,14.14474318
01/23/2020,02:00:00 AM,x,1,13.92,14.09386364
01/23/2020,02:05:00 AM,x,1,13.95,14.04931818
01/23/2020,02:10:00 AM,x,1,14.05,14.02477273
01/23/2020,02:15:00 AM,x,1,14.05,14.00659091
01/23/2020,02:20:00 AM,x,1,14.03,14.00386364
01/23/2020,02:25:00 AM,x,1,14.05,14.01295455
01/23/2020,02:30:00 AM,x,1,14.07,14.04477273
01/23/2020,02:35:00 AM,x,1,14.1,14.07840909
01/23/2020,02:40:00 AM,x,1,14.08,14.10022727
01/23/2020,02:45:00 AM,x,1,14.09,14.10386364
01/23/2020,02:50:00 AM,x,1,14.11,14.10022727
01/23/2020,02:55:00 AM,x,1,14.27,14.07568182
01/23/2020,03:00:00 AM,x,1,14.32,14.03934773
01/23/2020,03:05:00 AM,x,1,14.29,13.99937727
01/23/2020,03:10:00 AM,x,1,14.09,13.96486136
01/23/2020,03:15:00 AM,x,1,13.99,13.92852727
01/23/2020,03:20:00 AM,x,1,13.78,13.880375
01/23/2020,03:25:00 AM,x,0.99,13.67,13.80858636
01/23/2020,03:30:00 AM,x,0.99,13.66,13.709525
01/23/2020,03:35:00 AM,x,0.99,13.7,13.59773636
01/23/2020,03:40:00 AM,x,0.99,13.69,13.50231136
01/23/2020,03:45:00 AM,x,0.99,13.58,13.42234091
01/23/2020,03:50:00 AM,x,0.99,13.48,13.36055227
01/23/2020,03:55:00 AM,x,0.99,13.23,13.307825
01/23/2020,04:00:00 AM,x,0.99,13.06,13.25873409
01/23/2020,04:05:00 AM,x,0.99,13.04,13.21327955
01/23/2020,04:10:00 AM,x,0.99,13.11,13.16600682
01/23/2020,04:15:00 AM,x,0.99,13.1,13.13964318
01/23/2020,04:20:00 AM,x,0.99,13.09,13.11509773
01/23/2020,04:25:00 AM,x,0.99,13.12,13.09873409
01/23/2020,04:30:00 AM,x,0.99,13.2,13.09055227
01/23/2020,04:35:00 AM,x,0.99,13.17,13.08055227
01/23/2020,04:40:00 AM,x,0.99,13.29,13.05055227
01/23/2020,04:45:00 AM,x,0.99,13.21,13.00691591
01/23/2020,04:50:00 AM,x,0.99,13.05,12.97418864
01/23/2020,04:55:00 AM,x,0.99,12.97,12.93509773
01/23/2020,05:00:00 AM,x,0.99,12.93,12.857825
01/23/2020,05:05:00 AM,x,0.99,12.78,12.74327955
01/23/2020,05:10:00 AM,x,0.99,12.62,12.58967273
01/23/2020,05:15:00 AM,x,0.99,12.73,12.42788409
01/23/2020,05:20:00 AM,x,0.99,12.69,12.26882273
01/23/2020,05:25:00 AM,x,0.99,12.35,12.09157955
01/23/2020,05:30:00 AM,x,0.99,11.91,11.88976136
01/23/2020,05:35:00 AM,x,0.98,11.6,11.68480227
01/23/2020,05:40:00 AM,x,0.98,11.43,11.48258636
01/23/2020,05:45:00 AM,x,0.98,11.3,11.25890909
01/23/2020,05:50:00 AM,x,0.98,11.02,11.04015
01/23/2020,05:55:00 AM,x,0.99,10.71,10.86990227
01/23/2020,06:00:00 AM,0,1.13,10.53,10.74853409
01/23/2020,06:05:00 AM,0,1.74,10.42,10.67421591
01/23/2020,06:10:00 AM,0,2.85,10.33,10.62671136
01/23/2020,06:15:00 AM,0,4.57,10.4,10.57846136
01/23/2020,06:20:00 AM,0.1,6.92,10.67,10.55889773
01/23/2020,06:25:00 AM,0.37,12.53,10.95,10.57022727
01/23/2020,06:30:00 AM,0.84,19.98,11.4,10.588675
01/23/2020,06:35:00 AM,1.07,23.52,11.64,10.51753636
01/23/2020,06:40:00 AM,1.56,32.08,11.78,10.30786136
01/23/2020,06:45:00 AM,1.58,33.14,11.85,10.30670455
01/23/2020,06:50:00 AM,1.03,24.54,11.6,10.46168636
01/23/2020,06:55:00 AM,1.06,25.04,11.51,10.98712273
01/23/2020,07:00:00 AM,2.36,65.51,11.71,11.45754091
01/23/2020,07:05:00 AM,5.77,206.74,14.65,11.87962045
01/23/2020,07:10:00 AM,6.64,222.5,17.47,12.18181136
01/23/2020,07:15:00 AM,7.42,231.08,19.66,12.12418409
01/23/2020,07:20:00 AM,4.44,94.69,19.4,11.98002045
01/23/2020,07:25:00 AM,3.92,70.3,18.21,12.20887273
01/23/2020,07:30:00 AM,3.22,52.97,17.24,12.73846818
01/23/2020,07:35:00 AM,4.7,77.8,16.59,13.571425
01/23/2020,07:40:00 AM,10.01,213.26,17.07,14.31469545
01/23/2020,07:45:00 AM,18.36,407.18,22.45,14.91950455
01/23/2020,07:50:00 AM,18.19,411.89,26.6,15.21173409
01/23/2020,07:55:00 AM,19.58,422.57,29.14,15.65350682
01/23/2020,08:00:00 AM,21.59,446.97,31.62,16.05716818
01/23/2020,08:05:00 AM,23.23,472.47,33.77,17.02337273
01/23/2020,08:10:00 AM,24.58,489.76,34.72,18.11755455
01/23/2020,08:15:00 AM,26.17,513.32,36.22,19.17448864
01/23/2020,08:20:00 AM,27.43,525.7,37.87,19.80653636
01/23/2020,08:25:00 AM,31.76,594.5,39.28,20.12056591
01/23/2020,08:30:00 AM,21.74,367.7,36.64,20.12821591
01/23/2020,08:35:00 AM,17.81,292.46,31.68,20.02659545
01/23/2020,08:40:00 AM,13.78,211.91,27.73,20.03350909
01/23/2020,08:45:00 AM,11.82,176.12,25.89,20.07582273
01/23/2020,08:50:00 AM,11.26,167.36,24.3,19.83890682
01/23/2020,08:55:00 AM,13.01,195.15,23.52,19.27529773
01/23/2020,09:00:00 AM,14.2,211.48,24.17,18.57689545
01/23/2020,09:05:00 AM,11.15,171.42,24.45,17.53007955
01/23/2020,09:10:00 AM,6.84,105.46,23.43,17.64485909
01/23/2020,09:15:00 AM,8.04,118.81,22.04,18.13982045
01/23/2020,09:20:00 AM,18.61,313.26,23.94,18.57452273
01/23/2020,09:25:00 AM,14.95,232.39,24.56,18.84291136
01/23/2020,09:30:00 AM,36.82,627.69,31.06,19.06913864
01/23/2020,09:35:00 AM,23.18,410.6,35.45,18.44906136
01/23/2020,09:40:00 AM,15.84,249.21,33.71,18.51250909
01/23/2020,09:45:00 AM,11.3,172.23,29.24,18.64056136
01/23/2020,09:50:00 AM,12.1,199.08,26.6,18.13857273
