"Fecha","Hora","Potencia [kW]","Insolacion [W/m2]","Temperatura de modulos [øC]","Temperatura Ambiente [øC]"
"10/9/2019","12:50","51.56","695.88","41.45","21.88160909"
"10/9/2019","12:55","40.09","497.19","41.52","21.38188864"
"10/9/2019","13:00","52.58","704.33","41.57","21.60527273"
"10/9/2019","13:05","53.8","758.32","43.84","20.76895455"
"10/9/2019","13:10","32.87","409.49","37.4","20.34604091"
"10/9/2019","13:15","51.13","624.02","38.89","20.34086136"
"10/9/2019","13:20","43.66","481.25","38.28","21.05507727"
"10/9/2019","13:25","44.04","476.78","36.84","20.82032727"
"10/9/2019","13:30","68.12","856.82","41.75","21.00686591"
"10/9/2019","13:35","66.19","906.99","46.82","21.24856136"
"10/9/2019","13:40","62.23","687.1","46.08","21.01291591"
"10/9/2019","13:45","49.16","397.53","39.61","21.36175"
"10/9/2019","13:50","29.75","246.49","30.79","21.27135455"
"10/9/2019","13:55","47.9","263.04","29.28","21.22796136"
"10/9/2019","14:00","38.51","227.9","29.26","21.56666136"
"10/9/2019","14:05","48.36","238.17","29.24","21.54303409"
"10/9/2019","14:10","32.54","213.03","29.37","21.02565909"
